dimension,question_text,question_type,mapped_domains,mapped_streams,signal_strength,is_active,education_level,target_stream,sequence_order,option_1_text,option_2_text,option_3_text,option_4_text
interest,"Would helping people through accurate, health-focused work in Psychology & Mental Health feel meaningful to you?",mcq,MEDICAL_HEALTH|MENTAL_HEALTH,,4,1,,,230,Not interested right now,A little curious with guidance,Interested if I can try examples,Very interested and ready to explore
interest,Can you see yourself studying Psychology & Mental Health carefully because safety and trust matter in this field?,mcq,MEDICAL_HEALTH|MENTAL_HEALTH,,4,1,,,231,Not interested right now,A little curious with guidance,Interested if I can try examples,Very interested and ready to explore
aptitude,How manageable do psychology concepts and careful listening skills feel to you?,mcq,MEDICAL_HEALTH|MENTAL_HEALTH,,4,1,,,232,I would struggle without help,I can try with clear guidance,I can manage with regular practice,I feel confident learning this deeply
aptitude,"If a topic in Psychology & Mental Health feels difficult, how would you handle it?",mcq,MEDICAL_HEALTH|MENTAL_HEALTH,,4,1,,,233,I would struggle without help,I can try with clear guidance,I can manage with regular practice,I feel confident learning this deeply
aptitude,How realistic does it feel to build the study habits needed for Psychology & Mental Health?,mcq,MEDICAL_HEALTH|MENTAL_HEALTH,,4,1,,,234,I would struggle without help,I can try with clear guidance,I can manage with regular practice,I feel confident learning this deeply
personality,"When learning Psychology & Mental Health feels detailed, scientific, or high-responsibility, how do you usually respond?",mcq,MEDICAL_HEALTH|MENTAL_HEALTH,,4,1,,,235,I may stop if it feels too hard,I would continue with guidance,I would break it down and keep trying,I enjoy working through difficult learning
personality,"If feedback shows a mistake in your understanding, observation, or care-related approach in Psychology & Mental Health, what would you most likely do?",mcq,MEDICAL_HEALTH|MENTAL_HEALTH,,4,1,,,236,I may take it personally,I would listen but need time,I would use it to improve my work,I would ask questions and apply it carefully
personality,"How do you feel about the patience, accuracy, and steady study needed to grow in Psychology & Mental Health?",mcq,MEDICAL_HEALTH|MENTAL_HEALTH,,4,1,,,237,I prefer avoiding repeated practice,I can do it if someone guides me,I can stay consistent with routine,I enjoy improving through practice
work_style,Which way of preparing for Psychology & Mental Health would suit you best?,mcq,MEDICAL_HEALTH|MENTAL_HEALTH,,4,1,,,238,Mostly theory and reading,Hands-on practice with examples,Team discussions and guidance,Real projects with feedback
work_style,What kind of health-care work setting connected to Psychology & Mental Health feels most comfortable?,mcq,MEDICAL_HEALTH|MENTAL_HEALTH,,4,1,,,239,Mostly theory and reading,Hands-on practice with examples,Team discussions and guidance,Real projects with feedback
work_style,Which first step would help you explore Psychology & Mental Health before choosing it seriously?,mcq,MEDICAL_HEALTH|MENTAL_HEALTH,,4,1,,,240,Read or watch a beginner introduction,Try a small guided activity,Talk to someone in the field,Do a mini project or real-world visit
interest,"How interested are you in learning the science, care, and responsibility behind Biotechnology?",mcq,MEDICAL_HEALTH|BIOTECH,,4,1,,,241,Not interested,A little interested,Interested,Very interested
interest,"Would helping people through accurate, health-focused work in Biotechnology feel meaningful to you?",mcq,MEDICAL_HEALTH|BIOTECH,,4,1,,,242,I barely know what this involves,I know the basics only,I can picture the work fairly well,I understand the path and want to explore it
interest,Can you see yourself studying Biotechnology carefully because safety and trust matter in this field?,mcq,MEDICAL_HEALTH|BIOTECH,,4,1,,,243,Not interested right now,A little curious with guidance,Interested if I can try examples,Very interested and ready to explore
aptitude,"Biotechnology needs biology, chemistry, lab thinking, and patience with detailed work. How manageable is that?",mcq,MEDICAL_HEALTH|BIOTECH,,4,1,,,244,Very uncomfortable,Uncomfortable,Comfortable,Very comfortable
aptitude,"Could you learn lab methods, research basics, data recording, and biotech concepts with practice?",mcq,MEDICAL_HEALTH|BIOTECH,,4,1,,,245,Not confident,A little confident,Confident,Very confident
aptitude,Which of these is closest to your exposure to biotechnology?,mcq,MEDICAL_HEALTH|BIOTECH,,4,1,,,246,Never,Only heard about it,Did a biology or lab project,Explored seriously
personality,"When learning Biotechnology feels detailed, scientific, or high-responsibility, how do you usually respond?",mcq,MEDICAL_HEALTH|BIOTECH,,4,1,,,247,I may stop if it feels too hard,I would continue with guidance,I would break it down and keep trying,I enjoy working through difficult learning
personality,"If feedback shows a mistake in your understanding, observation, or care-related approach in Biotechnology, what would you most likely do?",mcq,MEDICAL_HEALTH|BIOTECH,,4,1,,,248,I may take it personally,I would listen but need time,I would use it to improve my work,I would ask questions and apply it carefully
personality,"How do you feel about the patience, accuracy, and steady study needed to grow in Biotechnology?",mcq,MEDICAL_HEALTH|BIOTECH,,4,1,,,249,I prefer avoiding repeated practice,I can do it if someone guides me,I can stay consistent with routine,I enjoy improving through practice
work_style,"Biotech work can be lab-based, detailed, research-driven, and slow to show results. Does that suit you?",mcq,MEDICAL_HEALTH|BIOTECH,,4,1,,,250,Not at all,A little,Yes mostly,Yes definitely
work_style,A first step could be learning how one biotech lab method is used. How realistic does that feel for you?,mcq,MEDICAL_HEALTH|BIOTECH,,4,1,,,251,Not ready yet,Maybe later,Ready to try,Ready and excited
work_style,Which first step would help you explore Biotechnology before choosing it seriously?,mcq,MEDICAL_HEALTH|BIOTECH,,4,1,,,252,Read or watch a beginner introduction,Try a small guided activity,Talk to someone in the field,Do a mini project or real-world visit
interest,"How interested are you in learning the science, care, and responsibility behind Healthcare Administration?",mcq,MEDICAL_HEALTH|HEALTHCARE_ADMIN,,4,1,,,253,Not interested,A little interested,Interested,Very interested
interest,"Would helping people through accurate, health-focused work in Healthcare Administration feel meaningful to you?",mcq,MEDICAL_HEALTH|HEALTHCARE_ADMIN,,4,1,,,254,I barely know what this involves,I know the basics only,I can picture the work fairly well,I understand the path and want to explore it
interest,Can you see yourself studying Healthcare Administration carefully because safety and trust matter in this field?,mcq,MEDICAL_HEALTH|HEALTHCARE_ADMIN,,4,1,,,255,Not interested right now,A little curious with guidance,Interested if I can try examples,Very interested and ready to explore
aptitude,"Healthcare administration needs organization, communication, rules, and service planning. How does that feel?",mcq,MEDICAL_HEALTH|HEALTHCARE_ADMIN,,4,1,,,256,Very uncomfortable,Uncomfortable,Comfortable,Very comfortable
aptitude,"Could you learn hospital workflows, health records, scheduling, and service coordination?",mcq,MEDICAL_HEALTH|HEALTHCARE_ADMIN,,4,1,,,257,Not confident,A little confident,Confident,Very confident
aptitude,Which of these is closest to your exposure to healthcare administration?,mcq,MEDICAL_HEALTH|HEALTHCARE_ADMIN,,4,1,,,258,Never,Only visited hospitals,Helped with records or coordination,Explored seriously
personality,"When learning Healthcare Administration feels detailed, scientific, or high-responsibility, how do you usually respond?",mcq,MEDICAL_HEALTH|HEALTHCARE_ADMIN,,4,1,,,259,I may stop if it feels too hard,I would continue with guidance,I would break it down and keep trying,I enjoy working through difficult learning
personality,"If feedback shows a mistake in your understanding, observation, or care-related approach in Healthcare Administration, what would you most likely do?",mcq,MEDICAL_HEALTH|HEALTHCARE_ADMIN,,4,1,,,260,I may take it personally,I would listen but need time,I would use it to improve my work,I would ask questions and apply it carefully
personality,"How do you feel about the patience, accuracy, and steady study needed to grow in Healthcare Administration?",mcq,MEDICAL_HEALTH|HEALTHCARE_ADMIN,,4,1,,,261,I prefer avoiding repeated practice,I can do it if someone guides me,I can stay consistent with routine,I enjoy improving through practice
work_style,"This work can involve people, systems, pressure, records, and service quality. Does that fit you?",mcq,MEDICAL_HEALTH|HEALTHCARE_ADMIN,,4,1,,,262,Not at all,A little,Yes mostly,Yes definitely
work_style,A first step could be learning how one hospital department is coordinated. How realistic does that feel for you?,mcq,MEDICAL_HEALTH|HEALTHCARE_ADMIN,,4,1,,,263,Not ready yet,Maybe later,Ready to try,Ready and excited
work_style,Which first step would help you explore Healthcare Administration before choosing it seriously?,mcq,MEDICAL_HEALTH|HEALTHCARE_ADMIN,,4,1,,,264,Read or watch a beginner introduction,Try a small guided activity,Talk to someone in the field,Do a mini project or real-world visit
interest,"How interested are you in performance, fitness, coaching, or body movement related to Sports Coaching?",mcq,SPORTS_FITNESS|SPORTS_COACHING,,4,1,,,265,Not interested,A little interested,Interested,Very interested
interest,"Would training, improving, or helping others perform better in Sports Coaching feel exciting to you?",mcq,SPORTS_FITNESS|SPORTS_COACHING,,4,1,,,266,I barely know what this involves,I know the basics only,I can picture the work fairly well,I understand the path and want to explore it
interest,Can you see yourself staying consistent with the practice and discipline needed in Sports Coaching?,mcq,SPORTS_FITNESS|SPORTS_COACHING,,4,1,,,267,Not interested right now,A little curious with guidance,Interested if I can try examples,Very interested and ready to explore
aptitude,"Sports coaching needs sport knowledge, communication, discipline, and observation. How does that feel?",mcq,SPORTS_FITNESS|SPORTS_COACHING,,4,1,,,268,Very uncomfortable,Uncomfortable,Comfortable,Very comfortable
aptitude,"Could you learn drills, feedback methods, match analysis, and basic training plans?",mcq,SPORTS_FITNESS|SPORTS_COACHING,,4,1,,,269,Not confident,A little confident,Confident,Very confident
aptitude,Which of these is closest to your exposure to sports coaching?,mcq,SPORTS_FITNESS|SPORTS_COACHING,,4,1,,,270,Never,Only played casually,Led practice or coaching,Explored seriously
personality,"When progress in Sports Coaching is slow or practice feels physically and mentally demanding, how do you usually respond?",mcq,SPORTS_FITNESS|SPORTS_COACHING,,4,1,,,271,I may stop if it feels too hard,I would continue with guidance,I would break it down and keep trying,I enjoy working through difficult learning
personality,"If a coach, mentor, or result shows a weakness in your Sports Coaching performance, what would you most likely do?",mcq,SPORTS_FITNESS|SPORTS_COACHING,,4,1,,,272,I may take it personally,I would listen but need time,I would use it to improve my work,I would ask questions and apply it carefully
personality,"How do you feel about the discipline, routine, and repeated practice needed to grow in Sports Coaching?",mcq,SPORTS_FITNESS|SPORTS_COACHING,,4,1,,,273,I prefer avoiding repeated practice,I can do it if someone guides me,I can stay consistent with routine,I enjoy improving through practice
work_style,"Coaching work can involve practice routines, motivation, feedback, and competition pressure. Does that suit you?",mcq,SPORTS_FITNESS|SPORTS_COACHING,,4,1,,,274,Not at all,A little,Yes mostly,Yes definitely
work_style,A first step could be planning one practice session for a sport. How realistic does that feel for you?,mcq,SPORTS_FITNESS|SPORTS_COACHING,,4,1,,,275,Not ready yet,Maybe later,Ready to try,Ready and excited
work_style,Which way of building early experience in Sports Coaching feels best?,mcq,SPORTS_FITNESS|SPORTS_COACHING,,4,1,,,276,Read or watch a beginner introduction,Try a small guided activity,Talk to someone in the field,Do a mini project or real-world visit
interest,"How interested are you in performance, fitness, coaching, or body movement related to Athletic Training?",mcq,SPORTS_FITNESS|ATHLETIC_TRAINING,,4,1,,,277,Not interested,A little interested,Interested,Very interested
interest,"Would training, improving, or helping others perform better in Athletic Training feel exciting to you?",mcq,SPORTS_FITNESS|ATHLETIC_TRAINING,,4,1,,,278,I barely know what this involves,I know the basics only,I can picture the work fairly well,I understand the path and want to explore it
interest,Can you see yourself staying consistent with the practice and discipline needed in Athletic Training?,mcq,SPORTS_FITNESS|ATHLETIC_TRAINING,,4,1,,,279,Not interested right now,A little curious with guidance,Interested if I can try examples,Very interested and ready to explore
aptitude,"Athletic training needs body knowledge, fitness basics, observation, and discipline. How manageable is that?",mcq,SPORTS_FITNESS|ATHLETIC_TRAINING,,4,1,,,280,Very uncomfortable,Uncomfortable,Comfortable,Very comfortable
aptitude,"Could you learn warm-ups, conditioning, recovery basics, and performance tracking?",mcq,SPORTS_FITNESS|ATHLETIC_TRAINING,,4,1,,,281,Not confident,A little confident,Confident,Very confident
aptitude,Which of these is closest to your exposure to athletic training?,mcq,SPORTS_FITNESS|ATHLETIC_TRAINING,,4,1,,,282,Never,Only exercised casually,Helped track sports practice,Explored seriously
personality,"When progress in Athletic Training is slow or practice feels physically and mentally demanding, how do you usually respond?",mcq,SPORTS_FITNESS|ATHLETIC_TRAINING,,4,1,,,283,I may stop if it feels too hard,I would continue with guidance,I would break it down and keep trying,I enjoy working through difficult learning
personality,"If a coach, mentor, or result shows a weakness in your Athletic Training performance, what would you most likely do?",mcq,SPORTS_FITNESS|ATHLETIC_TRAINING,,4,1,,,284,I may take it personally,I would listen but need time,I would use it to improve my work,I would ask questions and apply it carefully
personality,"How do you feel about the discipline, routine, and repeated practice needed to grow in Athletic Training?",mcq,SPORTS_FITNESS|ATHLETIC_TRAINING,,4,1,,,285,I prefer avoiding repeated practice,I can do it if someone guides me,I can stay consistent with routine,I enjoy improving through practice
work_style,"This work can involve physical activity, routines, data, and close athlete support. Does that suit you?",mcq,SPORTS_FITNESS|ATHLETIC_TRAINING,,4,1,,,286,Not at all,A little,Yes mostly,Yes definitely
work_style,A first step could be tracking a simple training and recovery routine. How realistic does that feel for you?,mcq,SPORTS_FITNESS|ATHLETIC_TRAINING,,4,1,,,287,Not ready yet,Maybe later,Ready to try,Ready and excited
work_style,Which way of building early experience in Athletic Training feels best?,mcq,SPORTS_FITNESS|ATHLETIC_TRAINING,,4,1,,,288,Read or watch a beginner introduction,Try a small guided activity,Talk to someone in the field,Do a mini project or real-world visit
interest,"How interested are you in performance, fitness, coaching, or body movement related to Fitness Training?",mcq,SPORTS_FITNESS|FITNESS_TRAINING,,4,1,,,289,Not interested,A little interested,Interested,Very interested
interest,"Would training, improving, or helping others perform better in Fitness Training feel exciting to you?",mcq,SPORTS_FITNESS|FITNESS_TRAINING,,4,1,,,290,I barely know what this involves,I know the basics only,I can picture the work fairly well,I understand the path and want to explore it
interest,Can you see yourself staying consistent with the practice and discipline needed in Fitness Training?,mcq,SPORTS_FITNESS|FITNESS_TRAINING,,4,1,,,291,Not interested right now,A little curious with guidance,Interested if I can try examples,Very interested and ready to explore
aptitude,"Fitness training needs exercise science basics, communication, safety, and consistency. How does that feel?",mcq,SPORTS_FITNESS|FITNESS_TRAINING,,4,1,,,292,Very uncomfortable,Uncomfortable,Comfortable,Very comfortable
aptitude,"Could you learn workout planning, form correction, progress tracking, and safety basics?",mcq,SPORTS_FITNESS|FITNESS_TRAINING,,4,1,,,293,Not confident,A little confident,Confident,Very confident
aptitude,Which of these is closest to your exposure to fitness training?,mcq,SPORTS_FITNESS|FITNESS_TRAINING,,4,1,,,294,Never,Only casual exercise,Helped someone train,Explored seriously
personality,"When progress in Fitness Training is slow or practice feels physically and mentally demanding, how do you usually respond?",mcq,SPORTS_FITNESS|FITNESS_TRAINING,,4,1,,,295,I may stop if it feels too hard,I would continue with guidance,I would break it down and keep trying,I enjoy working through difficult learning
personality,"If a coach, mentor, or result shows a weakness in your Fitness Training performance, what would you most likely do?",mcq,SPORTS_FITNESS|FITNESS_TRAINING,,4,1,,,296,I may take it personally,I would listen but need time,I would use it to improve my work,I would ask questions and apply it carefully
personality,"How do you feel about the discipline, routine, and repeated practice needed to grow in Fitness Training?",mcq,SPORTS_FITNESS|FITNESS_TRAINING,,4,1,,,297,I prefer avoiding repeated practice,I can do it if someone guides me,I can stay consistent with routine,I enjoy improving through practice
work_style,"Fitness work can involve people, routines, motivation, and visible progress over time. Does that suit you?",mcq,SPORTS_FITNESS|FITNESS_TRAINING,,4,1,,,298,Not at all,A little,Yes mostly,Yes definitely
work_style,A first step could be planning a safe beginner workout. How realistic does that feel for you?,mcq,SPORTS_FITNESS|FITNESS_TRAINING,,4,1,,,299,Not ready yet,Maybe later,Ready to try,Ready and excited
work_style,Which way of building early experience in Fitness Training feels best?,mcq,SPORTS_FITNESS|FITNESS_TRAINING,,4,1,,,300,Read or watch a beginner introduction,Try a small guided activity,Talk to someone in the field,Do a mini project or real-world visit
interest,"How interested are you in performance, fitness, coaching, or body movement related to Sports Medicine?",mcq,SPORTS_FITNESS|SPORTS_MEDICINE,,4,1,,,301,Not interested,A little interested,Interested,Very interested
interest,"Would training, improving, or helping others perform better in Sports Medicine feel exciting to you?",mcq,SPORTS_FITNESS|SPORTS_MEDICINE,,4,1,,,302,I barely know what this involves,I know the basics only,I can picture the work fairly well,I understand the path and want to explore it
interest,Can you see yourself staying consistent with the practice and discipline needed in Sports Medicine?,mcq,SPORTS_FITNESS|SPORTS_MEDICINE,,4,1,,,303,Not interested right now,A little curious with guidance,Interested if I can try examples,Very interested and ready to explore
aptitude,"Sports medicine needs biology, body mechanics, health science, and careful observation. How manageable is that?",mcq,SPORTS_FITNESS|SPORTS_MEDICINE,,4,1,,,304,Very uncomfortable,Uncomfortable,Comfortable,Very comfortable
aptitude,"Could you learn injury basics, recovery plans, taping, assessment, and referral awareness?",mcq,SPORTS_FITNESS|SPORTS_MEDICINE,,4,1,,,305,Not confident,A little confident,Confident,Very confident
aptitude,Which of these is closest to your exposure to sports medicine?,mcq,SPORTS_FITNESS|SPORTS_MEDICINE,,4,1,,,306,Never,Only heard about it,Studied sports health topics,Explored seriously
personality,"When progress in Sports Medicine is slow or practice feels physically and mentally demanding, how do you usually respond?",mcq,SPORTS_FITNESS|SPORTS_MEDICINE,,4,1,,,307,I may stop if it feels too hard,I would continue with guidance,I would break it down and keep trying,I enjoy working through difficult learning
personality,"If a coach, mentor, or result shows a weakness in your Sports Medicine performance, what would you most likely do?",mcq,SPORTS_FITNESS|SPORTS_MEDICINE,,4,1,,,308,I may take it personally,I would listen but need time,I would use it to improve my work,I would ask questions and apply it carefully
personality,"How do you feel about the discipline, routine, and repeated practice needed to grow in Sports Medicine?",mcq,SPORTS_FITNESS|SPORTS_MEDICINE,,4,1,,,309,I prefer avoiding repeated practice,I can do it if someone guides me,I can stay consistent with routine,I enjoy improving through practice
work_style,"This work can involve injured people, patience, science, and careful progress tracking. Does that suit you?",mcq,SPORTS_FITNESS|SPORTS_MEDICINE,,4,1,,,310,Not at all,A little,Yes mostly,Yes definitely
work_style,A first step could be learning how a common sports injury is prevented. How realistic does that feel for you?,mcq,SPORTS_FITNESS|SPORTS_MEDICINE,,4,1,,,311,Not ready yet,Maybe later,Ready to try,Ready and excited
work_style,Which way of building early experience in Sports Medicine feels best?,mcq,SPORTS_FITNESS|SPORTS_MEDICINE,,4,1,,,312,Read or watch a beginner introduction,Try a small guided activity,Talk to someone in the field,Do a mini project or real-world visit
interest,"How interested are you in performance, fitness, coaching, or body movement related to Sports Management?",mcq,SPORTS_FITNESS|SPORTS_MANAGEMENT,,4,1,,,313,Not interested,A little interested,Interested,Very interested
interest,"Would training, improving, or helping others perform better in Sports Management feel exciting to you?",mcq,SPORTS_FITNESS|SPORTS_MANAGEMENT,,4,1,,,314,I barely know what this involves,I know the basics only,I can picture the work fairly well,I understand the path and want to explore it
interest,Can you see yourself staying consistent with the practice and discipline needed in Sports Management?,mcq,SPORTS_FITNESS|SPORTS_MANAGEMENT,,4,1,,,315,Not interested right now,A little curious with guidance,Interested if I can try examples,Very interested and ready to explore
aptitude,"Sports management needs organization, communication, business basics, and planning. How does that feel?",mcq,SPORTS_FITNESS|SPORTS_MANAGEMENT,,4,1,,,316,Very uncomfortable,Uncomfortable,Comfortable,Very comfortable
aptitude,"Could you learn event planning, team operations, budgeting, and sports promotion?",mcq,SPORTS_FITNESS|SPORTS_MANAGEMENT,,4,1,,,317,Not confident,A little confident,Confident,Very confident
aptitude,Which of these is closest to your exposure to sports management?,mcq,SPORTS_FITNESS|SPORTS_MANAGEMENT,,4,1,,,318,Never,Only watched sports,Managed part of a sports event,Explored seriously
personality,"When progress in Sports Management is slow or practice feels physically and mentally demanding, how do you usually respond?",mcq,SPORTS_FITNESS|SPORTS_MANAGEMENT,,4,1,,,319,I may stop if it feels too hard,I would continue with guidance,I would break it down and keep trying,I enjoy working through difficult learning
personality,"If a coach, mentor, or result shows a weakness in your Sports Management performance, what would you most likely do?",mcq,SPORTS_FITNESS|SPORTS_MANAGEMENT,,4,1,,,320,I may take it personally,I would listen but need time,I would use it to improve my work,I would ask questions and apply it carefully
personality,"How do you feel about the discipline, routine, and repeated practice needed to grow in Sports Management?",mcq,SPORTS_FITNESS|SPORTS_MANAGEMENT,,4,1,,,321,I prefer avoiding repeated practice,I can do it if someone guides me,I can stay consistent with routine,I enjoy improving through practice
work_style,"This work can involve events, people, pressure, schedules, and business decisions. Does that suit you?",mcq,SPORTS_FITNESS|SPORTS_MANAGEMENT,,4,1,,,322,Not at all,A little,Yes mostly,Yes definitely
work_style,A first step could be planning a small sports event or tournament. How realistic does that feel for you?,mcq,SPORTS_FITNESS|SPORTS_MANAGEMENT,,4,1,,,323,Not ready yet,Maybe later,Ready to try,Ready and excited
work_style,Which way of building early experience in Sports Management feels best?,mcq,SPORTS_FITNESS|SPORTS_MANAGEMENT,,4,1,,,324,Read or watch a beginner introduction,Try a small guided activity,Talk to someone in the field,Do a mini project or real-world visit
interest,"How interested are you in performance, fitness, coaching, or body movement related to Physical Education?",mcq,SPORTS_FITNESS|PHYSICAL_EDUCATION,,4,1,,,325,Not interested,A little interested,Interested,Very interested
interest,"Would training, improving, or helping others perform better in Physical Education feel exciting to you?",mcq,SPORTS_FITNESS|PHYSICAL_EDUCATION,,4,1,,,326,I barely know what this involves,I know the basics only,I can picture the work fairly well,I understand the path and want to explore it
interest,Can you see yourself staying consistent with the practice and discipline needed in Physical Education?,mcq,SPORTS_FITNESS|PHYSICAL_EDUCATION,,4,1,,,327,Not interested right now,A little curious with guidance,Interested if I can try examples,Very interested and ready to explore
aptitude,"Physical education needs body knowledge, teaching skills, discipline, and communication. How manageable is that?",mcq,SPORTS_FITNESS|PHYSICAL_EDUCATION,,4,1,,,328,Very uncomfortable,Uncomfortable,Comfortable,Very comfortable
aptitude,"Could you learn lesson planning, sports rules, fitness testing, and safe activity design?",mcq,SPORTS_FITNESS|PHYSICAL_EDUCATION,,4,1,,,329,Not confident,A little confident,Confident,Very confident
aptitude,Which of these is closest to your exposure to physical education?,mcq,SPORTS_FITNESS|PHYSICAL_EDUCATION,,4,1,,,330,Never,Only attended PE classes,Led games or fitness sessions,Explored seriously
personality,"When progress in Physical Education is slow or practice feels physically and mentally demanding, how do you usually respond?",mcq,SPORTS_FITNESS|PHYSICAL_EDUCATION,,4,1,,,331,I may stop if it feels too hard,I would continue with guidance,I would break it down and keep trying,I enjoy working through difficult learning
personality,"If a coach, mentor, or result shows a weakness in your Physical Education performance, what would you most likely do?",mcq,SPORTS_FITNESS|PHYSICAL_EDUCATION,,4,1,,,332,I may take it personally,I would listen but need time,I would use it to improve my work,I would ask questions and apply it carefully
personality,"How do you feel about the discipline, routine, and repeated practice needed to grow in Physical Education?",mcq,SPORTS_FITNESS|PHYSICAL_EDUCATION,,4,1,,,333,I prefer avoiding repeated practice,I can do it if someone guides me,I can stay consistent with routine,I enjoy improving through practice
work_style,"This work can involve students, outdoor activity, discipline, and teaching energy. Does that suit you?",mcq,SPORTS_FITNESS|PHYSICAL_EDUCATION,,4,1,,,334,Not at all,A little,Yes mostly,Yes definitely
work_style,A first step could be planning one safe PE activity for a group. How realistic does that feel for you?,mcq,SPORTS_FITNESS|PHYSICAL_EDUCATION,,4,1,,,335,Not ready yet,Maybe later,Ready to try,Ready and excited
work_style,Which way of building early experience in Physical Education feels best?,mcq,SPORTS_FITNESS|PHYSICAL_EDUCATION,,4,1,,,336,Read or watch a beginner introduction,Try a small guided activity,Talk to someone in the field,Do a mini project or real-world visit
interest,"How interested are you in performance, fitness, coaching, or body movement related to Nutrition & Wellness?",mcq,SPORTS_FITNESS|NUTRITION_WELLNESS,,4,1,,,337,Not interested,A little interested,Interested,Very interested
interest,"Would training, improving, or helping others perform better in Nutrition & Wellness feel exciting to you?",mcq,SPORTS_FITNESS|NUTRITION_WELLNESS,,4,1,,,338,I barely know what this involves,I know the basics only,I can picture the work fairly well,I understand the path and want to explore it
interest,Can you see yourself staying consistent with the practice and discipline needed in Nutrition & Wellness?,mcq,SPORTS_FITNESS|NUTRITION_WELLNESS,,4,1,,,339,Not interested right now,A little curious with guidance,Interested if I can try examples,Very interested and ready to explore
aptitude,"Nutrition and wellness need biology basics, habit tracking, communication, and practical planning. How does that feel?",mcq,SPORTS_FITNESS|NUTRITION_WELLNESS,,4,1,,,340,Very uncomfortable,Uncomfortable,Comfortable,Very comfortable
aptitude,"Could you learn meal planning basics, wellness tracking, habit coaching, and safety limits?",mcq,SPORTS_FITNESS|NUTRITION_WELLNESS,,4,1,,,341,Not confident,A little confident,Confident,Very confident
aptitude,Which of these is closest to your exposure to nutrition or wellness?,mcq,SPORTS_FITNESS|NUTRITION_WELLNESS,,4,1,,,342,Never,Only watched content,Helped someone with wellness goals,Explored seriously
personality,"When progress in Nutrition & Wellness is slow or practice feels physically and mentally demanding, how do you usually respond?",mcq,SPORTS_FITNESS|NUTRITION_WELLNESS,,4,1,,,343,I may stop if it feels too hard,I would continue with guidance,I would break it down and keep trying,I enjoy working through difficult learning
personality,"If a coach, mentor, or result shows a weakness in your Nutrition & Wellness performance, what would you most likely do?",mcq,SPORTS_FITNESS|NUTRITION_WELLNESS,,4,1,,,344,I may take it personally,I would listen but need time,I would use it to improve my work,I would ask questions and apply it carefully
personality,"How do you feel about the discipline, routine, and repeated practice needed to grow in Nutrition & Wellness?",mcq,SPORTS_FITNESS|NUTRITION_WELLNESS,,4,1,,,345,I prefer avoiding repeated practice,I can do it if someone guides me,I can stay consistent with routine,I enjoy improving through practice
work_style,"This work can involve people, daily habits, gradual change, and careful guidance. Does that suit you?",mcq,SPORTS_FITNESS|NUTRITION_WELLNESS,,4,1,,,346,Not at all,A little,Yes mostly,Yes definitely
work_style,"A first step could be tracking one week of food, sleep, or activity habits. How realistic does that feel for you?",mcq,SPORTS_FITNESS|NUTRITION_WELLNESS,,4,1,,,347,Not ready yet,Maybe later,Ready to try,Ready and excited
work_style,Which way of building early experience in Nutrition & Wellness feels best?,mcq,SPORTS_FITNESS|NUTRITION_WELLNESS,,4,1,,,348,Read or watch a beginner introduction,Try a small guided activity,Talk to someone in the field,Do a mini project or real-world visit
interest,"How interested are you in performance, fitness, coaching, or body movement related to Yoga & Wellness?",mcq,SPORTS_FITNESS|YOGA_WELLNESS,,4,1,,,349,Not interested,A little interested,Interested,Very interested
interest,"Would training, improving, or helping others perform better in Yoga & Wellness feel exciting to you?",mcq,SPORTS_FITNESS|YOGA_WELLNESS,,4,1,,,350,I barely know what this involves,I know the basics only,I can picture the work fairly well,I understand the path and want to explore it
interest,Can you see yourself staying consistent with the practice and discipline needed in Yoga & Wellness?,mcq,SPORTS_FITNESS|YOGA_WELLNESS,,4,1,,,351,Not interested right now,A little curious with guidance,Interested if I can try examples,Very interested and ready to explore
aptitude,"Yoga and wellness need body awareness, patience, communication, and safe practice. How manageable is that?",mcq,SPORTS_FITNESS|YOGA_WELLNESS,,4,1,,,352,Very uncomfortable,Uncomfortable,Comfortable,Very comfortable
aptitude,"Could you learn basic poses, breathing methods, session planning, and safety precautions?",mcq,SPORTS_FITNESS|YOGA_WELLNESS,,4,1,,,353,Not confident,A little confident,Confident,Very confident
aptitude,Which of these is closest to your exposure to yoga or wellness?,mcq,SPORTS_FITNESS|YOGA_WELLNESS,,4,1,,,354,Never,Only watched or heard,Followed a routine or class,Explored seriously
personality,"When progress in Yoga & Wellness is slow or practice feels physically and mentally demanding, how do you usually respond?",mcq,SPORTS_FITNESS|YOGA_WELLNESS,,4,1,,,355,I may stop if it feels too hard,I would continue with guidance,I would break it down and keep trying,I enjoy working through difficult learning
personality,"If a coach, mentor, or result shows a weakness in your Yoga & Wellness performance, what would you most likely do?",mcq,SPORTS_FITNESS|YOGA_WELLNESS,,4,1,,,356,I may take it personally,I would listen but need time,I would use it to improve my work,I would ask questions and apply it carefully
personality,"How do you feel about the discipline, routine, and repeated practice needed to grow in Yoga & Wellness?",mcq,SPORTS_FITNESS|YOGA_WELLNESS,,4,1,,,357,I prefer avoiding repeated practice,I can do it if someone guides me,I can stay consistent with routine,I enjoy improving through practice
work_style,"This work can involve calm guidance, regular practice, people, and gradual progress. Does that suit you?",mcq,SPORTS_FITNESS|YOGA_WELLNESS,,4,1,,,358,Not at all,A little,Yes mostly,Yes definitely
